Sex,Length,Width,Height,Weight,Non_Shell Weight,Intestine Weight,Shell Weight,Stage of Life
F,0.5504762403865339,0.4326233554878667,0.1538408794941865,0.7792549248923488,0.3179481447080879,0.1562641615524691,0.242961353739918,Adult
F,0.5515482399018177,0.4332837823618979,0.1541711630751088,0.7833019107953062,0.3195929728243799,0.1571002089811223,0.2442013675926155,Adult
F,0.5510379487426654,0.4329589867438991,0.1539746803583514,0.7811797117626698,0.3187216110416834,0.1566703400259557,0.2435564177449958,Adult
F,0.5494042408712501,0.4319629286138355,0.1535105959132642,0.7752079389893914,0.316303316591796,0.1554281141238159,0.2417213398872206,Adult
F,0.5499659492273816,0.4322985598698679,0.153644396777429,0.7771327258597124,0.3170767829253915,0.1558342925973025,0.2423164038922984,Adult
F,0.5505276575835132,0.4326341911259003,0.1537781976415939,0.7790575127300332,0.3178502492589869,0.156240471070789,0.2429114678973762,Adult
F,0.5521099482579492,0.4336194136179304,0.1543049639392737,0.785226697665627,0.3203664391579753,0.1575063874546088,0.2447964315976932,Adult
F,0.5515996570987971,0.4332946179999316,0.1541084812225162,0.7831044986329906,0.3194950773752789,0.1570765184994422,0.2441514817500736,Adult
F,0.5526202394171015,0.4339442092359292,0.1545014466560312,0.7873488966982636,0.3212378009406718,0.1579362564097755,0.2454413814453129,Adult
F,0.5488939497120978,0.4316381329958366,0.1533141131965067,0.773085739956755,0.3154319548090996,0.1549982451686493,0.241076390039601,Adult
F,0.5494556580682294,0.431973764251869,0.1534479140606716,0.7750105268270758,0.316205421142695,0.1554044236421358,0.2416714540446787,Adult
F,0.5483322413559661,0.4313025017398043,0.1531803123323419,0.7711609530864341,0.3146584884755041,0.1545920666951628,0.2404813260345232,Adult
F,0.5510893659396449,0.4329698223819327,0.1539119985057588,0.7809822996003541,0.3186237155925824,0.1566466495442756,0.2435065319024539,Adult
F,0.550017366424361,0.4323093955079015,0.1535817149248365,0.7769353136973968,0.3169788874762905,0.1558106021156224,0.2422665180497565,Adult
F,0.5526716566140809,0.4339550448739628,0.1544387648034386,0.787151484535948,0.3211399054915708,0.1579125659280954,0.245391495602771,Adult
F,0.553181947773233,0.4342798404919616,0.154635247520196,0.7892736835685845,0.3220112672742672,0.158342434883262,0.2460364454503906,Adult
